99515, 1
99301, 2
99208, 1
99202, 3
99164, 1
99049, 1
99027, 1
98668, 1
98661, 1
98502, 1
98225, 1
98105, 4
98033, 6
97702, 2
97526, 1
97477, 1
97470, 1
97339, 1
97202, 1
97015, 3
97005, 1
96814, 1
96790, 2
95827, 2
95694, 1
95687, 1
95677, 3
95618, 1
95616, 10
95403, 4
95219, 3
95124, 1
95065, 2
95032, 1
95008, 2
94939, 1
94925, 1
94804, 1
94539, 3
94530, 4
94523, 3
94521, 1
94301, 1
94116, 3
94070, 8
93420, 2
93012, 3
92780, 6
92675, 2
92620, 1
92614, 1
92602, 1
92211, 1
92121, 2
92117, 1
92111, 4
92103, 1
92025, 1
91786, 3
91775, 1
91364, 3
91107, 2
90631, 1
90504, 2
90232, 3
90069, 1
90049, 1
90025, 2
89511, 3
89147, 1
89146, 1
89104, 1
88088, 1
87508, 1
87505, 1
87113, 2
87112, 1
87111, 1
87109, 1
87106, 1
87004, 1
85705, 2
85704, 2
85641, 1
85392, 2
85331, 1
85254, 2
85251, 1
85250, 4
85233, 2
85021, 4
84106, 5
84047, 1
84015, 1
83843, 1
83714, 2
83687, 1
83467, 1
83025, 1
80917, 1
80538, 2
80526, 1
80525, 1
80524, 1
80523, 4
80222, 2
80110, 5
80033, 1
78758, 2
78733, 1
78731, 2
78727, 1
78258, 3
77845, 1
77833, 1
77807, 2
77345, 1
77339, 1
77338, 1
77084, 1
77077, 1
77064, 2
77055, 6
77034, 2
76110, 1
76088, 1
76051, 2
76017, 1
75287, 6
75275, 1
75229, 1
75093, 1
75080, 1
75025, 1
74078, 1
74063, 2
73494, 2
73120, 2
70820, 1
70803, 3
70179, 1
70119, 1
68134, 1
67211, 1
66506, 1
66210, 3
66206, 1
66083, 1
65802, 1
65211, 6
65203, 1
64064, 3
63841, 1
63122, 2
63005, 3
61802, 2
61801, 1
61350, 1
60622, 1
60612, 1
60563, 1
60506, 2
60445, 1
60174, 1
60123, 1
60090, 2
60076, 1
56701, 1
55416, 2
55344, 2
55311, 1
55304, 2
55113, 1
55109, 1
55108, 1
54914, 1
54208, 4
53792, 1
53719, 4
53711, 1
53706, 3
53574, 1
52404, 2
52246, 1
50036, 1
50011, 3
49503, 1
49461, 1
49331, 1
48895, 2
48824, 2
48823, 1
48377, 1
48326, 1
48302, 2
48118, 1
48034, 5
47907, 3
47906, 2
46601, 1
46060, 1
46038, 3
45439, 1
45227, 1
44601, 1
44321, 4
44286, 2
43210, 4
43085, 3
43065, 2
43017, 1
40580, 1
40511, 1
40510, 1
40223, 2
40067, 2
39759, 1
39564, 1
39532, 1
38018, 1
37996, 4
37934, 1
37886, 1
37204, 2
37167, 1
36695, 1
35805, 1
35243, 1
35080, 1
35022, 4
34994, 1
34474, 1
34293, 1
34232, 2
34231, 1
34119, 1
33928, 1
33803, 1
33771, 1
33762, 1
33634, 2
33626, 1
33614, 1
33558, 1
33556, 1
33458, 2
33442, 2
33414, 1
33406, 5
33328, 1
33317, 1
33169, 1
33156, 1
33071, 2
33030, 2
32825, 1
32751, 4
32653, 1
32615, 1
32610, 2
32608, 1
32550, 2
32223, 1
32216, 2
32073, 3
31405, 2
30677, 1
30606, 3
30602, 1
30328, 4
30214, 2
29464, 2
29451, 1
28403, 2
28273, 2
28173, 1
27705, 1
27607, 3
27606, 1
27518, 3
27455, 1
27409, 2
27406, 1
27320, 1
27312, 1
27310, 1
27262, 1
27103, 1
24061, 3
24060, 4
23693, 1
23452, 2
23320, 2
23284, 1
23221, 1
22406, 1
22180, 2
22031, 1
22030, 2
21403, 1
21401, 5
21228, 1
20892, 1
20878, 1
20877, 3
20854, 1
20816, 1
20707, 3
20639, 2
20198, 1
19720, 2
19486, 1
19403, 1
19380, 1
19348, 2
19104, 4
19103, 1
19102, 1
19047, 1
18902, 1
18052, 1
17403, 3
15237, 6
15116, 1
14853, 5
14850, 1
14623, 2
14546, 2
14043, 2
13057, 1
13053, 1
12401, 1
11803, 2
11795, 2
11738, 1
10507, 2
10502, 4
10065, 2
10023, 2
10019, 2
08869, 1
08691, 1
08055, 1
07924, 1
07724, 1
07652, 2
07424, 3
06902, 1
06897, 2
06854, 2
06410, 1
05672, 2
05495, 1
03820, 1
03801, 2
03100, 1
03053, 1
02886, 2
02882, 1
02818, 1
02451, 2
02379, 1
02190, 2
02130, 4
02081, 2
01867, 1
01845, 2
01801, 3
01760, 1
01719, 1
01536, 2
01375, 1
01373, 2
01366, 1
00969, 1
00926, 1
